rock_name,rock_type,description,color,hardness,composition,density,common_location,fun_fact,photo_url,rarity
Granite,Igneous Rock,"Granite is a coarse-grained intrusive igneous rock composed mostly of quartz, alkali feldspar, and plagioclase.","White, Pink,Gray",6 - 7,"Quartz, Feldspar, Mica",2.65 - 2.75 g/cm3,"Bukit Timah Nature Reserve, Pandan area, Pulau Ubin, Sembawang","Pulau Ubin once had multiple granite quarries that supplied building material for many early structures in Singapore, including the Istana and Raffles Lighthouse.",rock-image-display/granite.png,common
Sandstone,Sedimentary Rock,Sandstone is a clastic sedimentary rock composed mainly of sand-sized mineral particles or rock fragments.,"tan, yellow, red, brown, gray, or white",6 - 7,Quartz,2.2 - 2.8 g/cm3,"Jurong East, Tuas, Clementi, Pasir Panjang","The Jurong Formation in Singapore includes sandstone, siltstone, and shale—and is around 200 million years old!",rock-image-display/sandstone.jpg,common
Mudstone,Sedimentary Rock,Mudstone is a fine-grained sedimentary rock formed from ancient mud—a mix of clay and silt-sized particles,"Gray, Brown, Black, Reddish",2 - 3,Mostly Clay Minerals,2.1 - 2.6 g/cm3,"Tuas, Jurong West, Clementi","Mudstone in the Jurong Formation may contain fossilized plant material, offering clues to the tropical environment of ancient Singapore over 200 million years ago!",rock-image-display/mudstone.png,common
Limestone,Sedimentary Rock,"Limestone is a sedimentary rock primarily composed of calcium carbonate (CaCO₃), often formed from the accumulated remains of marine organisms like coral and shellfish","White, Gray, Cream, Light brown",3 - 4,Primarily Calcium Carbonate,2.3 - 2.7 g/cm3,"Pulau Ubin, Pandan, Pasir Panjang, Jurong Island","Singapore has limited natural limestone compared to granie or sandstone, so if you found it, consider yourself lucky!",rock-image-display/limestone.png,common
Quartzite,Metamorphic Rock,"Quartzite is a hard, non-foliated metamorphic rock that was originally pure quartz sandstone.","White, Gray, Yellow, Green, Blue and Orange",7,"Primarily quartzite, sandstone, and argillite. ",2.6 - 2.7 g/cm3,"Pulao Tekong, Pulao Sajahat, Punggol Point","stone tools made from quartzite have been found at archaeological sites, including Tanjong Karang (now Tuas) and Pulau Ubin, suggesting its use by early inhabitants.",rock-image-display/quartzite.png,common
Gabbro,Igneous Rock,Gabbro is a coarse-grained intrusive igneous rock that forms from the slow cooling of magma beneath the Earth's surface.,"Dark gray, Black, Greenish",6 - 7,"Pyroxene, Plagioclase feldspar",2.7 - 3.3 g/cm3,Bukit Gombak,"Gabbro makes up much of the Earth’s oceanic crust and is the intrusive equivalent of basalt. When polished, it is sometimes sold as ""Black Granite"" in the construction industry—even though it’s a different rock!",rock-image-display/gabbro.png,common
Basalt,Igneous Rock,"Basalt is a dark-colored, fine-grained igneous rock that forms from the rapid cooling of low-silica lava at or near the Earth’s surface.","Dark gray, Black",6 - 7,"Pyroxene, Plagioclase feldspar, olivine, magnetite",2.8 - 3.0 g/cm3,Bukit Timah,Basalt covers most of the ocean floor and is also found on the Moon and Mars!,rock-image-display/basalt.png,common
Andesite,Igneous Rock,Andesite is a fine-grained volcanic rock formed from the eruption of magma with intermediate silica content.,"Gray, Dark gray",6 - 7,Plagioclase feldspar,2.5 - 2.8 g/cm3,"Bukit Timah Nature Reserve, Mandai, Sembawang","In Singapore, although surface volcanic activity doesn't exist, andesite dykes provide evidence of ancient volcanic processes deep underground!",rock-image-display/andesite.png,common
Amphibolite,Metamorphic Rock,"Amphibolite is a dark, dense metamorphic rock mainly composed of amphibole minerals (usually hornblende) and plagioclase feldspar.","Dark green, Black, Gray",6 - 7,"Hornblende, Plagioclase feldspar",2.9 - 3.1 g/cm3,Bukit Timah,Amphibolite is so durable that it has been used for grinding stones and construction for centuries.,rock-image-display/amphibolite.png,rare
Marble,Metamorphic Rock,"Marble is a metamorphic rock that forms when limestone is subjected to high pressure and temperature, causing its calcite crystals to recrystallize.",White,3 - 4,"Calcium carbonate, Mica, Quartz, Graphite, Iron Oxides",2.6 - 2.8 g/cm3,"(not found naturally) Flooring, Wall cladding, countertops","Despite being soft, marble was the stone of choice for Michelangelo, who sculpted the famous Statue of David entirely from Carrara marble.",rock-image-display/marble.png,common
